Хичээлийн_дугаар,Хичээлийн_индекс,Монгол_нэр,Англи_нэр,Харьяалах_бүтцийн_дугаар,Харьяалах_бүтэц,Харьяалах_тэнхим_дугаар,Харьяалах_тэнхим,Сургалтын_түвшин,Орох_улирал,Тодорхойлсон_огноо,Багц_цаг
7501788417c5c49436d7aba3c0695833,CHCO314,Найрал дуу найруулга, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
33865889e522b68ecc0ddac89ab25522,CHOI209,Найрал дуу-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
83ad6d83694b6acb17e0a51adbd374bf,CHOI312,Найрал дуу-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
7c3aa93f86af77d8b1071d5fd2b4c91a,CHOI313,Найрал дуу-3, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
a05e075b238c2ee46d2a1f91aeee15b4,COND329,Хөрвүүлэг найруулга, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
2462b9b1bd83b589c5b262d72a395c4f,CSMU337,Товших шудрах хөгжим, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
524e7d08e755cc664226b3d4b8660cd7,CURS207,Хөтөлбөр судлал, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
8e601923e77ae1ddf71ec316a9ddefc7,DSKI325,Бүжиглэх ур чадвар, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
4533c3b629f51a3e981e909506c0b5cc,DTMD213,Бүжиг заах арга зүй,Method of teaching dance,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
2bae3b53c279ec401567724ae89d6c4b,EKMU327,Цахилгаан даралтат хөгжим-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
d715978fcc0396b4d67d7ef9a0edf1f9,EKMU330,Цахилгаан даралтат хөгжим-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
8b6acd3795ce607f8acd53d6954ebcaa,ELMU336,Цахилгаан хөгжим-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
bafe63ac0f8b163d98a5e91b3a1c737c,EPSY205,Боловсролын сэтгэл судлал,Educational psychology,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
139ccdbf5a1b8401e93441d7f174ad00,FOMU326,Ардын хөгжим, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
2bc05f0615f2d46ba93e12d33f2229c2,GIRD322,Төгөлдөр хуур-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
0eaf0f796b918b4c9c7eec8cc4a9e0cb,GIRD323,Төгөлдөр хуур-3, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
e3f13b88bedd3f0c9346814b957bb0f9,ITLD203,Суралцахуй багшлахуйн үндэс, Introduction to Learning and Teaching,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
884738b4332ababd678ca505f4e04f4d,MKHU335,Морин хуур-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
4411d3abc8350e49b1cbc3b66c65a22e,DSMM328,Дуурьсахуйн ухаан-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
a15df7c1b8c9dc6c8a9104c74df2a191,MOHD317,Морин хуур хөгжим-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
56eb2fff9adeac35191fd615fff3efee,MSKI321,"Удирдах ур чадвар /хөгжим, найрал дуу/", ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
4ddd8fd5a3e8489671ff1733c1dd0eae,MTDM217,Сургалтын хэрэглэгдэхүүн боловсруулах арга зүй, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
d4debfe3d5694f7b8a997233f02f3273,MTMG212,Дуу хөгжим заах арга зүй, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,3
5d2a47cdbbcc3d3af68f7d4003f796b5,MUSH311,Хөгжмийн түүх, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
4f7146f3ccda08de84a2fc8b92305691,MUTD208,Хөгжмийн онол, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
e2d83dd47948dde10750f0b7031dcb5e,NSOP332,Ноотны програм, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
8158fa3e4de806e614f7ff02e7b22fde,ORCO320,Найрал хөгжим найруулга, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
def35ca4715a54f7fecd2fb80419572f,ORCH318,Найрал хөгжим-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
6508b3f499f5b64f9ca84fbb763fe500,ORCH319,Найрал хөгжим-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
dc70dcd4932bb0874226a3eb6d20b38d,PIAD211,Төгөлдөр хуур-1, Piano-1,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
01065cc12a9d7a950be0386ba0e43157,PSID204,Хүний хөгжлийн сэтгэл судлал, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
d38446cc4f5c0bef25d2270f9db29985,PTP302,Судлах дадлага, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2022,2
4c9f17e01c03106d9117905e58eb0951,DSPW206,Төсөлт ажил-2 /Хөгжлийг дэмжих/,Project work-2 (promote development),82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
b12b646e693cbf411f8eaae5204ffdfe,SCHS215,Сургууль судлал, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
199a323c2b7b2b65dae06d56d48b8073,SSKD210,Дуулах ур чадвар, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
8e1ba2fadecb9dc939750d1104c8a7f2,TRES216,Сурах бичиг судлал,SoreeO buciit  Sodolo&,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
f4667a2fccf527dad06cc706baf81a70,WARD315,Соноршуулга-1, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
c18329a875ee3142771b03cad25cfc79,WARD316,Соноршуулга-2, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,1
3eb5238106ffa4378988e8191304a914,WINM334,Үлээвэр хөгжим, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
49d9a40d7e55c5a283a2910fd7a171af,WIRM333,Утсан хөгжим, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2022,2
a3acb1a52dcaf379f44c93dc844acd62,CHLd215,Хүүхдийн уран зохиол, Children Literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
285c44427d4b422ed19d9ea061943a12,CLIM312,Монголын эртний уран зохиол ,Mongolian ancient literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
1e4e35498ab5ae64e2c32576328487ba,CSGD318,Сонгодог бичгийн тиг ,Classic writing glyph,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
2a44fc01550de95485464916cfcfdbf1,DSTD318,Нутгийн аялгуу судлал ,Local dialect studies,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
358680ef4f169bc21f0eec123b85119d,ETIM319,Үгийн гарал судлал ,Etymology,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
68f8b8440b1eb96b97995c5efb6856a9,ILIN212,Хэл шинжлэлийн удиртгал,Introduction to Linguistics,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,2
b114906b1c37b67e17100bd6401d859c,ILTH213,Уран зохиолын онолын удиртгал,Introduction to Literary Theory,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,2
613594054b1f1c7911d9f9fc9c795477,ISCH215,Хүүхэд хамгаалал ,Child protection,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
37e0eaaff0973a8ab20092edeacf2ff0,LEXS309,Үгийн сан судлал ,Vocabulary,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
ee90b45cf1106fef95ee81de63d7a322,LISR319,Уран зохиол судлал шүүмж, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
ae482b6bae6b28e5f1631932d6e5c382,LTMD210,Уран зохиолын сургалтын арга зүй ,Teaching methods of literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
7d0bbf7a89b8df0db46886555ae8cca5,MFLD214,Монгол аман зохиол ,Mongolian Folk Literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
e7010b16c0de033b28694aa1c830b330,MLIM313,Монголын орчин үеийн уран зохиол ,Modern Literature of Mongolia,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
936a96a77c3eca882a69ec04c94372b4,MONS317,Монгол бичиг ,Mongolian script,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
c52376a1820e868235b1851b87492a39,MPHD306,"Авиа зүй, хэрэглээ",Phonetics,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
29e48b729552621616d15c0a82f58016,MRPH307,"Үг зүй, хэрэглээ",Morphology,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
b4755be9028acf67416ab6d2abf34d46,MSTM211,Монгол бичгийн сургалтын арга зүй,Teaching methods of Mongolian script,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
7f57bce28faaaea3f907428563a4437c,ORLI315,Дорно дахины уран зохиол,Oriental literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
12ac425957335528f185ebbd3f344307,SEMA311,Утга судлал ,Semantics,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
d3102a0b7413aa55427210bbd83624b4,SNED318,Тусгай хэрэгцээт боловсрол ,Special needs education,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,2
25cd125f8916019a9d5909d771fdef61,SYNT308,"Өгүүлбэр зүй, хэрэглээ",Syntax,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
87d76d9c72d0b437182d4c27536b43c2,TAND316,Эх зохиолд задлал хийх арга зүй ,Analyzing methods in the original text,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
16f541b005e91cd15bf516c1961ea0b0,TASD310,Эх судлал найруулга зүй ,Etymology and stylistics,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Улирал харгалзахгүй,2017,3
fbd2367b610709a34ef4bb9605ec5ba9,TMLD209,Монгол хэлний сургалтын арга зүй ,Teaching methods of Mongolian language,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,3
7666534473231043db00bea461f55d33,TTM214,Ардын сурган хүмүүжүүлэх өв уламжлал, ,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
8c4fcd64d8c6e62de9d8496a0b7c33f8,WESL314,Өрнө дахины уран зохиол ,Western Literature,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
56c7f7435d8e6860ca392b2b06d5643f,TAND316,Эх зохиолд задлал хийх арга зүй ,Analyzing methods in the original text,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2020,2
0183e4f6ecf3efd66438a27cb4ec2d68,ACTd216,Жүжиглэхүй, Acting,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
081858e42df3e2ac683f842e34831256,APHC308,"Хүүхдийн биеийн анатоми, физиологи, эрүүл ахуй","Anatomy, physiology and hygiene of the child's body",82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,3
3ec501b562c6038d2ffabafcbac37cd3,CLIT307,"Хүүхдийн уран зохиол, уран уншлага",Children Literature and recitation,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,2
ed1c1607401e06c70d9e92918ddd9934,COMS311,Харилцааны ур чадвар,Communication skills,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Намрын улирал,2017,2
dd39fad8b6d919682beca3fe8af879d3,CSTU310,"Хүүхдийг судлах аргазүй, ур чадвар", Methods and skills for studying children,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,82db68ebd24ca2aa1d80e2d16856c24e,Дорнод аймаг дахь сургууль,Бакалавр,Хаврын улирал,2017,2
